cve	scorev3	vector	upstream_fix_phrase	summary	link	filter_reason
CVE-2023-6238	6.7	LOCAL	no	A buffer overflow vulnerability was found in the NVM Express (NVMe) driver in the Linux kernel. Only privileged user could specify a small meta buffer and let the device perform larger Direct Memory Access (DMA) into the same buffer, overwriting unrelated kernel memory, causing random kernel crashes and memory corruption.	https://nvd.nist.gov/vuln/detail/CVE-2023-6238	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-23848	5.5	LOCAL	no	In the Linux kernel through 6.7.1, there is a use-after-free in cec_queue_msg_fh, related to drivers/media/cec/core/cec-adap.c and drivers/media/cec/core/cec-api.c.	https://nvd.nist.gov/vuln/detail/CVE-2024-23848	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-24864	5.3	LOCAL	no	A race condition was found in the Linux kernel's media/dvb-core in dvbdmx_write() function. This can result in a null pointer dereference issue, possibly leading to a kernel panic or denial of service issue.	https://nvd.nist.gov/vuln/detail/CVE-2024-24864	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-25739	5.5	LOCAL	no	create_empty_lvol in drivers/mtd/ubi/vtbl.c in the Linux kernel through 6.7.4 can attempt to allocate zero bytes, and crash, because of a missing check for ubi->leb_size.	https://nvd.nist.gov/vuln/detail/CVE-2024-25739	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-25740	5.5	LOCAL	no	A memory leak flaw was found in the UBI driver in drivers/mtd/ubi/attach.c in the Linux kernel through 6.7.4 for UBI_IOCATT, because kobj->name is not released.	https://nvd.nist.gov/vuln/detail/CVE-2024-25740	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-25741	5.5	LOCAL	no	printer_write in drivers/usb/gadget/function/f_printer.c in the Linux kernel through 6.7.4 does not properly call usb_ep_queue, which might allow attackers to cause a denial of service or have unspecified other impact.	https://nvd.nist.gov/vuln/detail/CVE-2024-25741	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26596	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  net: dsa: fix netdev_priv() dereference before check on non-DSA netdevice events  After the blamed commit, we started doing this dereference for every NETDEV_CHANGEUPPER and NETDEV_PRECHANGEUPPER event in the system.  static inline struct dsa_port *dsa_user_to_port(const struct net_device *dev) { 	struct dsa_user_priv *p = netdev_priv(dev);  	return p->dp; }  Which is obviously bogus, because not all net_devices have a netdev_priv() of type struct dsa_user_priv. But struct dsa_user_priv is fairly small, and p->dp means dereferencing 8 bytes starting with offset 16. Most drivers allocate that much private memory anyway, making our access not fault, and we discard the bogus data quickly afterwards, so this wasn't caught.  But the dummy interface is somewhat special in that it calls alloc_netdev() with a priv size of 0. So every netdev_priv() dereference is invalid, and we get this when we emit a NETDEV_PRECHANGEUPPER event with a VLAN as its new upper:  $ ip link add dummy1 type dummy $ ip link add link dummy1 name dummy1.100 type vlan id 100 [   43.309174] ================================================================== [   43.316456] BUG: KASAN: slab-out-of-bounds in dsa_user_prechangeupper+0x30/0xe8 [   43.323835] Read of size 8 at addr ffff3f86481d2990 by task ip/374 [   43.330058] [   43.342436] Call trace: [   43.366542]  dsa_user_prechangeupper+0x30/0xe8 [   43.371024]  dsa_user_netdevice_event+0xb38/0xee8 [   43.375768]  notifier_call_chain+0xa4/0x210 [   43.379985]  raw_notifier_call_chain+0x24/0x38 [   43.384464]  __netdev_upper_dev_link+0x3ec/0x5d8 [   43.389120]  netdev_upper_dev_link+0x70/0xa8 [   43.393424]  register_vlan_dev+0x1bc/0x310 [   43.397554]  vlan_newlink+0x210/0x248 [   43.401247]  rtnl_newlink+0x9fc/0xe30 [   43.404942]  rtnetlink_rcv_msg+0x378/0x580  Avoid the kernel oops by dereferencing after the type check, as customary.	https://nvd.nist.gov/vuln/detail/CVE-2024-26596	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26686	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  fs/proc: do_task_stat: use sig->stats_lock to gather the threads/children stats  lock_task_sighand() can trigger a hard lockup.  If NR_CPUS threads call do_task_stat() at the same time and the process has NR_THREADS, it will spin with irqs disabled O(NR_CPUS * NR_THREADS) time.  Change do_task_stat() to use sig->stats_lock to gather the statistics outside of ->siglock protected section, in the likely case this code will run lockless.	https://nvd.nist.gov/vuln/detail/CVE-2024-26686	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26756	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  md: Don't register sync_thread for reshape directly  Currently, if reshape is interrupted, then reassemble the array will register sync_thread directly from pers->run(), in this case 'MD_RECOVERY_RUNNING' is set directly, however, there is no guarantee that md_do_sync() will be executed, hence stop_sync_thread() will hang because 'MD_RECOVERY_RUNNING' can't be cleared.  Last patch make sure that md_do_sync() will set MD_RECOVERY_DONE, however, following hang can still be triggered by dm-raid test shell/lvconvert-raid-reshape.sh occasionally:  [root@fedora ~]# cat /proc/1982/stack [<0>] stop_sync_thread+0x1ab/0x270 [md_mod] [<0>] md_frozen_sync_thread+0x5c/0xa0 [md_mod] [<0>] raid_presuspend+0x1e/0x70 [dm_raid] [<0>] dm_table_presuspend_targets+0x40/0xb0 [dm_mod] [<0>] __dm_destroy+0x2a5/0x310 [dm_mod] [<0>] dm_destroy+0x16/0x30 [dm_mod] [<0>] dev_remove+0x165/0x290 [dm_mod] [<0>] ctl_ioctl+0x4bb/0x7b0 [dm_mod] [<0>] dm_ctl_ioctl+0x11/0x20 [dm_mod] [<0>] vfs_ioctl+0x21/0x60 [<0>] __x64_sys_ioctl+0xb9/0xe0 [<0>] do_syscall_64+0xc6/0x230 [<0>] entry_SYSCALL_64_after_hwframe+0x6c/0x74  Meanwhile mddev->recovery is: MD_RECOVERY_RUNNING | MD_RECOVERY_INTR | MD_RECOVERY_RESHAPE | MD_RECOVERY_FROZEN  Fix this problem by remove the code to register sync_thread directly from raid10 and raid5. And let md_check_recovery() to register sync_thread.	https://nvd.nist.gov/vuln/detail/CVE-2024-26756	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26757	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  md: Don't ignore read-only array in md_check_recovery()  Usually if the array is not read-write, md_check_recovery() won't register new sync_thread in the first place. And if the array is read-write and sync_thread is registered, md_set_readonly() will unregister sync_thread before setting the array read-only. md/raid follow this behavior hence there is no problem.  After commit f52f5c71f3d4 ("md: fix stopping sync thread"), following hang can be triggered by test shell/integrity-caching.sh:  1) array is read-only. dm-raid update super block: rs_update_sbs  ro = mddev->ro  mddev->ro = 0   -> set array read-write  md_update_sb  2) register new sync thread concurrently.  3) dm-raid set array back to read-only: rs_update_sbs  mddev->ro = ro  4) stop the array: raid_dtr  md_stop   stop_sync_thread     set_bit(MD_RECOVERY_INTR, &mddev->recovery);     md_wakeup_thread_directly(mddev->sync_thread);     wait_event(..., !test_bit(MD_RECOVERY_RUNNING, &mddev->recovery))  5) sync thread done:  md_do_sync  set_bit(MD_RECOVERY_DONE, &mddev->recovery);  md_wakeup_thread(mddev->thread);  6) daemon thread can't unregister sync thread:  md_check_recovery   if (!md_is_rdwr(mddev) &&       !test_bit(MD_RECOVERY_NEEDED, &mddev->recovery))    return;   -> -> MD_RECOVERY_RUNNING can't be cleared, hence step 4 hang;  The root cause is that dm-raid manipulate 'mddev->ro' by itself, however, dm-raid really should stop sync thread before setting the array read-only. Unfortunately, I need to read more code before I can refacter the handler of 'mddev->ro' in dm-raid, hence let's fix the problem the easy way for now to prevent dm-raid regression.	https://nvd.nist.gov/vuln/detail/CVE-2024-26757	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26758	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  md: Don't ignore suspended array in md_check_recovery()  mddev_suspend() never stop sync_thread, hence it doesn't make sense to ignore suspended array in md_check_recovery(), which might cause sync_thread can't be unregistered.  After commit f52f5c71f3d4 ("md: fix stopping sync thread"), following hang can be triggered by test shell/integrity-caching.sh:  1) suspend the array: raid_postsuspend  mddev_suspend  2) stop the array: raid_dtr  md_stop   __md_stop_writes    stop_sync_thread     set_bit(MD_RECOVERY_INTR, &mddev->recovery);     md_wakeup_thread_directly(mddev->sync_thread);     wait_event(..., !test_bit(MD_RECOVERY_RUNNING, &mddev->recovery))  3) sync thread done: md_do_sync  set_bit(MD_RECOVERY_DONE, &mddev->recovery);  md_wakeup_thread(mddev->thread);  4) daemon thread can't unregister sync thread: md_check_recovery  if (mddev->suspended)    return; -> return directly  md_read_sync_thread  clear_bit(MD_RECOVERY_RUNNING, &mddev->recovery);  -> MD_RECOVERY_RUNNING can't be cleared, hence step 2 hang;  This problem is not just related to dm-raid, fix it by ignoring suspended array in md_check_recovery(). And follow up patches will improve dm-raid better to frozen sync thread during suspend.	https://nvd.nist.gov/vuln/detail/CVE-2024-26758	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26785	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  iommufd: Fix protection fault in iommufd_test_syz_conv_iova  Syzkaller reported the following bug:    general protection fault, probably for non-canonical address 0xdffffc0000000038: 0000 [#1] SMP KASAN   KASAN: null-ptr-deref in range [0x00000000000001c0-0x00000000000001c7]   Call Trace:    lock_acquire    lock_acquire+0x1ce/0x4f0    down_read+0x93/0x4a0    iommufd_test_syz_conv_iova+0x56/0x1f0    iommufd_test_access_rw.isra.0+0x2ec/0x390    iommufd_test+0x1058/0x1e30    iommufd_fops_ioctl+0x381/0x510    vfs_ioctl    __do_sys_ioctl    __se_sys_ioctl    __x64_sys_ioctl+0x170/0x1e0    do_syscall_x64    do_syscall_64+0x71/0x140  This is because the new iommufd_access_change_ioas() sets access->ioas to NULL during its process, so the lock might be gone in a concurrent racing context.  Fix this by doing the same access->ioas sanity as iommufd_access_rw() and iommufd_access_pin_pages() functions do.	https://nvd.nist.gov/vuln/detail/CVE-2024-26785	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26811	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  ksmbd: validate payload size in ipc response  If installing malicious ksmbd-tools, ksmbd.mountd can return invalid ipc response to ksmbd kernel server. ksmbd should validate payload size of ipc response from ksmbd.mountd to avoid memory overrun or slab-out-of-bounds. This patch validate 3 ipc response that has payload.	https://nvd.nist.gov/vuln/detail/CVE-2024-26811	not-applicable-config: ksmbd/SMB server disabled (CONFIG_SMB_SERVER disabled)
CVE-2024-26900	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  md: fix kmemleak of rdev->serial  If kobject_add() is fail in bind_rdev_to_array(), 'rdev->serial' will be alloc not be freed, and kmemleak occurs.  unreferenced object 0xffff88815a350000 (size 49152):   comm "mdadm", pid 789, jiffies 4294716910   hex dump (first 32 bytes):     00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................     00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................   backtrace (crc f773277a):     [<0000000058b0a453>] kmemleak_alloc+0x61/0xe0     [<00000000366adf14>] __kmalloc_large_node+0x15e/0x270     [<000000002e82961b>] __kmalloc_node.cold+0x11/0x7f     [<00000000f206d60a>] kvmalloc_node+0x74/0x150     [<0000000034bf3363>] rdev_init_serial+0x67/0x170     [<0000000010e08fe9>] mddev_create_serial_pool+0x62/0x220     [<00000000c3837bf0>] bind_rdev_to_array+0x2af/0x630     [<0000000073c28560>] md_add_new_disk+0x400/0x9f0     [<00000000770e30ff>] md_ioctl+0x15bf/0x1c10     [<000000006cfab718>] blkdev_ioctl+0x191/0x3f0     [<0000000085086a11>] vfs_ioctl+0x22/0x60     [<0000000018b656fe>] __x64_sys_ioctl+0xba/0xe0     [<00000000e54e675e>] do_syscall_64+0x71/0x150     [<000000008b0ad622>] entry_SYSCALL_64_after_hwframe+0x6c/0x74	https://nvd.nist.gov/vuln/detail/CVE-2024-26900	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26948	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Add a dc_state NULL check in dc_state_release  [How] Check wheather state is NULL before releasing it.	https://nvd.nist.gov/vuln/detail/CVE-2024-26948	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26949	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amdgpu/pm: Fix NULL pointer dereference when get power limit  Because powerplay_table initialization is skipped under sriov case, We check and set default lower and upper OD value if powerplay_table is NULL.	https://nvd.nist.gov/vuln/detail/CVE-2024-26949	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-26954	7.1	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  ksmbd: fix slab-out-of-bounds in smb_strndup_from_utf16()  If ->NameOffset of smb2_create_req is smaller than Buffer offset of smb2_create_req, slab-out-of-bounds read can happen from smb2_open. This patch set the minimum value of the name offset to the buffer offset to validate name length of smb2_create_req().	https://nvd.nist.gov/vuln/detail/CVE-2024-26954	not-applicable-config: ksmbd/SMB server disabled (CONFIG_SMB_SERVER disabled)
CVE-2024-26962	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  dm-raid456, md/raid456: fix a deadlock for dm-raid456 while io concurrent with reshape  For raid456, if reshape is still in progress, then IO across reshape position will wait for reshape to make progress. However, for dm-raid, in following cases reshape will never make progress hence IO will hang:  1) the array is read-only; 2) MD_RECOVERY_WAIT is set; 3) MD_RECOVERY_FROZEN is set;  After commit c467e97f079f ("md/raid6: use valid sector values to determine if an I/O should wait on the reshape") fix the problem that IO across reshape position doesn't wait for reshape, the dm-raid test shell/lvconvert-raid-reshape.sh start to hang:  [root@fedora ~]# cat /proc/979/stack [<0>] wait_woken+0x7d/0x90 [<0>] raid5_make_request+0x929/0x1d70 [raid456] [<0>] md_handle_request+0xc2/0x3b0 [md_mod] [<0>] raid_map+0x2c/0x50 [dm_raid] [<0>] __map_bio+0x251/0x380 [dm_mod] [<0>] dm_submit_bio+0x1f0/0x760 [dm_mod] [<0>] __submit_bio+0xc2/0x1c0 [<0>] submit_bio_noacct_nocheck+0x17f/0x450 [<0>] submit_bio_noacct+0x2bc/0x780 [<0>] submit_bio+0x70/0xc0 [<0>] mpage_readahead+0x169/0x1f0 [<0>] blkdev_readahead+0x18/0x30 [<0>] read_pages+0x7c/0x3b0 [<0>] page_cache_ra_unbounded+0x1ab/0x280 [<0>] force_page_cache_ra+0x9e/0x130 [<0>] page_cache_sync_ra+0x3b/0x110 [<0>] filemap_get_pages+0x143/0xa30 [<0>] filemap_read+0xdc/0x4b0 [<0>] blkdev_read_iter+0x75/0x200 [<0>] vfs_read+0x272/0x460 [<0>] ksys_read+0x7a/0x170 [<0>] __x64_sys_read+0x1c/0x30 [<0>] do_syscall_64+0xc6/0x230 [<0>] entry_SYSCALL_64_after_hwframe+0x6c/0x74  This is because reshape can't make progress.  For md/raid, the problem doesn't exist because register new sync_thread doesn't rely on the IO to be done any more:  1) If array is read-only, it can switch to read-write by ioctl/sysfs; 2) md/raid never set MD_RECOVERY_WAIT; 3) If MD_RECOVERY_FROZEN is set, mddev_suspend() doesn't hold    'reconfig_mutex', hence it can be cleared and reshape can continue by    sysfs api 'sync_action'.  However, I'm not sure yet how to avoid the problem in dm-raid yet. This patch on the one hand make sure raid_message() can't change sync_thread() through raid_message() after presuspend(), on the other hand detect the above 3 cases before wait for IO do be done in dm_suspend(), and let dm-raid requeue those IO.	https://nvd.nist.gov/vuln/detail/CVE-2024-26962	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-27010	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  net/sched: Fix mirred deadlock on device recursion  When the mirred action is used on a classful egress qdisc and a packet is mirrored or redirected to self we hit a qdisc lock deadlock. See trace below.  [..... other info removed for brevity....] [   82.890906] [   82.890906] ============================================ [   82.890906] WARNING: possible recursive locking detected [   82.890906] 6.8.0-05205-g77fadd89fe2d-dirty #213 Tainted: G        W [   82.890906] -------------------------------------------- [   82.890906] ping/418 is trying to acquire lock: [   82.890906] ffff888006994110 (&sch->q.lock){+.-.}-{3:3}, at: __dev_queue_xmit+0x1778/0x3550 [   82.890906] [   82.890906] but task is already holding lock: [   82.890906] ffff888006994110 (&sch->q.lock){+.-.}-{3:3}, at: __dev_queue_xmit+0x1778/0x3550 [   82.890906] [   82.890906] other info that might help us debug this: [   82.890906]  Possible unsafe locking scenario: [   82.890906] [   82.890906]        CPU0 [   82.890906]        ---- [   82.890906]   lock(&sch->q.lock); [   82.890906]   lock(&sch->q.lock); [   82.890906] [   82.890906]  *** DEADLOCK *** [   82.890906] [..... other info removed for brevity....]  Example setup (eth0->eth0) to recreate tc qdisc add dev eth0 root handle 1: htb default 30 tc filter add dev eth0 handle 1: protocol ip prio 2 matchall \      action mirred egress redirect dev eth0  Another example(eth0->eth1->eth0) to recreate tc qdisc add dev eth0 root handle 1: htb default 30 tc filter add dev eth0 handle 1: protocol ip prio 2 matchall \      action mirred egress redirect dev eth1  tc qdisc add dev eth1 root handle 1: htb default 30 tc filter add dev eth1 handle 1: protocol ip prio 2 matchall \      action mirred egress redirect dev eth0  We fix this by adding an owner field (CPU id) to struct Qdisc set after root qdisc is entered. When the softirq enters it a second time, if the qdisc owner is the same CPU, the packet is dropped to break the loop.	https://nvd.nist.gov/vuln/detail/CVE-2024-27010	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2024-27011	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  netfilter: nf_tables: fix memleak in map from abort path  The delete set command does not rely on the transaction object for element removal, therefore, a combination of delete element + delete set from the abort path could result in restoring twice the refcount of the mapping.  Check for inactive element in the next generation for the delete element command in the abort path, skip restoring state if next generation bit has been already cleared. This is similar to the activate logic using the set walk iterator.  [ 6170.286929] ------------[ cut here ]------------ [ 6170.286939] WARNING: CPU: 6 PID: 790302 at net/netfilter/nf_tables_api.c:2086 nf_tables_chain_destroy+0x1f7/0x220 [nf_tables] [ 6170.287071] Modules linked in: [...] [ 6170.287633] CPU: 6 PID: 790302 Comm: kworker/6:2 Not tainted 6.9.0-rc3+ #365 [ 6170.287768] RIP: 0010:nf_tables_chain_destroy+0x1f7/0x220 [nf_tables] [ 6170.287886] Code: df 48 8d 7d 58 e8 69 2e 3b df 48 8b 7d 58 e8 80 1b 37 df 48 8d 7d 68 e8 57 2e 3b df 48 8b 7d 68 e8 6e 1b 37 df 48 89 ef eb c4 <0f> 0b 48 83 c4 08 5b 5d 41 5c 41 5d 41 5e 41 5f c3 cc cc cc cc 0f [ 6170.287895] RSP: 0018:ffff888134b8fd08 EFLAGS: 00010202 [ 6170.287904] RAX: 0000000000000001 RBX: ffff888125bffb28 RCX: dffffc0000000000 [ 6170.287912] RDX: 0000000000000003 RSI: ffffffffa20298ab RDI: ffff88811ebe4750 [ 6170.287919] RBP: ffff88811ebe4700 R08: ffff88838e812650 R09: fffffbfff0623a55 [ 6170.287926] R10: ffffffff8311d2af R11: 0000000000000001 R12: ffff888125bffb10 [ 6170.287933] R13: ffff888125bffb10 R14: dead000000000122 R15: dead000000000100 [ 6170.287940] FS:  0000000000000000(0000) GS:ffff888390b00000(0000) knlGS:0000000000000000 [ 6170.287948] CS:  0010 DS: 0000 ES: 0000 CR0: 0000000080050033 [ 6170.287955] CR2: 00007fd31fc00710 CR3: 0000000133f60004 CR4: 00000000001706f0 [ 6170.287962] Call Trace: [ 6170.287967]  <TASK> [ 6170.287973]  ? __warn+0x9f/0x1a0 [ 6170.287986]  ? nf_tables_chain_destroy+0x1f7/0x220 [nf_tables] [ 6170.288092]  ? report_bug+0x1b1/0x1e0 [ 6170.287986]  ? nf_tables_chain_destroy+0x1f7/0x220 [nf_tables] [ 6170.288092]  ? report_bug+0x1b1/0x1e0 [ 6170.288104]  ? handle_bug+0x3c/0x70 [ 6170.288112]  ? exc_invalid_op+0x17/0x40 [ 6170.288120]  ? asm_exc_invalid_op+0x1a/0x20 [ 6170.288132]  ? nf_tables_chain_destroy+0x2b/0x220 [nf_tables] [ 6170.288243]  ? nf_tables_chain_destroy+0x1f7/0x220 [nf_tables] [ 6170.288366]  ? nf_tables_chain_destroy+0x2b/0x220 [nf_tables] [ 6170.288483]  nf_tables_trans_destroy_work+0x588/0x590 [nf_tables]	https://nvd.nist.gov/vuln/detail/CVE-2024-27011	filtered-vector-low-criticality: LOCAL scorev3<7
