cve	scorev3	vector	upstream_fix_phrase	summary	link
CVE-2024-26699	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Fix array-index-out-of-bounds in dcn35_clkmgr  [Why] There is a potential memory access violation while iterating through array of dcn35 clks.  [How] Limit iteration per array size.	https://nvd.nist.gov/vuln/detail/CVE-2024-26699
CVE-2024-26944	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  btrfs: zoned: fix use-after-free in do_zone_finish()  Shinichiro reported the following use-after-free triggered by the device replace operation in fstests btrfs/070.   BTRFS info (device nullb1): scrub: finished on devid 1 with status: 0  ==================================================================  BUG: KASAN: slab-use-after-free in do_zone_finish+0x91a/0xb90 [btrfs]  Read of size 8 at addr ffff8881543c8060 by task btrfs-cleaner/3494007   CPU: 0 PID: 3494007 Comm: btrfs-cleaner Tainted: G        W          6.8.0-rc5-kts #1  Hardware name: Supermicro Super Server/X11SPi-TF, BIOS 3.3 02/21/2020  Call Trace:   <TASK>   dump_stack_lvl+0x5b/0x90   print_report+0xcf/0x670   ? __virt_addr_valid+0x200/0x3e0   kasan_report+0xd8/0x110   ? do_zone_finish+0x91a/0xb90 [btrfs]   ? do_zone_finish+0x91a/0xb90 [btrfs]   do_zone_finish+0x91a/0xb90 [btrfs]   btrfs_delete_unused_bgs+0x5e1/0x1750 [btrfs]   ? __pfx_btrfs_delete_unused_bgs+0x10/0x10 [btrfs]   ? btrfs_put_root+0x2d/0x220 [btrfs]   ? btrfs_clean_one_deleted_snapshot+0x299/0x430 [btrfs]   cleaner_kthread+0x21e/0x380 [btrfs]   ? __pfx_cleaner_kthread+0x10/0x10 [btrfs]   kthread+0x2e3/0x3c0   ? __pfx_kthread+0x10/0x10   ret_from_fork+0x31/0x70   ? __pfx_kthread+0x10/0x10   ret_from_fork_asm+0x1b/0x30   </TASK>   Allocated by task 3493983:   kasan_save_stack+0x33/0x60   kasan_save_track+0x14/0x30   __kasan_kmalloc+0xaa/0xb0   btrfs_alloc_device+0xb3/0x4e0 [btrfs]   device_list_add.constprop.0+0x993/0x1630 [btrfs]   btrfs_scan_one_device+0x219/0x3d0 [btrfs]   btrfs_control_ioctl+0x26e/0x310 [btrfs]   __x64_sys_ioctl+0x134/0x1b0   do_syscall_64+0x99/0x190   entry_SYSCALL_64_after_hwframe+0x6e/0x76   Freed by task 3494056:   kasan_save_stack+0x33/0x60   kasan_save_track+0x14/0x30   kasan_save_free_info+0x3f/0x60   poison_slab_object+0x102/0x170   __kasan_slab_free+0x32/0x70   kfree+0x11b/0x320   btrfs_rm_dev_replace_free_srcdev+0xca/0x280 [btrfs]   btrfs_dev_replace_finishing+0xd7e/0x14f0 [btrfs]   btrfs_dev_replace_by_ioctl+0x1286/0x25a0 [btrfs]   btrfs_ioctl+0xb27/0x57d0 [btrfs]   __x64_sys_ioctl+0x134/0x1b0   do_syscall_64+0x99/0x190   entry_SYSCALL_64_after_hwframe+0x6e/0x76   The buggy address belongs to the object at ffff8881543c8000   which belongs to the cache kmalloc-1k of size 1024  The buggy address is located 96 bytes inside of   freed 1024-byte region [ffff8881543c8000, ffff8881543c8400)   The buggy address belongs to the physical page:  page:00000000fe2c1285 refcount:1 mapcount:0 mapping:0000000000000000 index:0x0 pfn:0x1543c8  head:00000000fe2c1285 order:3 entire_mapcount:0 nr_pages_mapped:0 pincount:0  flags: 0x17ffffc0000840(slab|head|node=0|zone=2|lastcpupid=0x1fffff)  page_type: 0xffffffff()  raw: 0017ffffc0000840 ffff888100042dc0 ffffea0019e8f200 dead000000000002  raw: 0000000000000000 0000000000100010 00000001ffffffff 0000000000000000  page dumped because: kasan: bad access detected   Memory state around the buggy address:   ffff8881543c7f00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00   ffff8881543c7f80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  >ffff8881543c8000: fa fb fb fb fb fb fb fb fb fb fb fb fb fb fb fb                                                         ^   ffff8881543c8080: fb fb fb fb fb fb fb fb fb fb fb fb fb fb fb fb   ffff8881543c8100: fb fb fb fb fb fb fb fb fb fb fb fb fb fb fb fb  This UAF happens because we're accessing stale zone information of a already removed btrfs_device in do_zone_finish().  The sequence of events is as follows:  btrfs_dev_replace_start   btrfs_scrub_dev    btrfs_dev_replace_finishing     btrfs_dev_replace_update_device_in_mapping_tree <-- devices replaced     btrfs_rm_dev_replace_free_srcdev      btrfs_free_device                              <-- device freed  cleaner_kthread  btrfs_delete_unused_bgs   btrfs_zone_finish    do_zone_finish              <-- refers the freed device  The reason for this is that we're using a ---truncated---	https://nvd.nist.gov/vuln/detail/CVE-2024-26944
CVE-2024-26945	8.4	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  crypto: iaa - Fix nr_cpus < nr_iaa case  If nr_cpus < nr_iaa, the calculated cpus_per_iaa will be 0, which causes a divide-by-0 in rebalance_wq_table().  Make sure cpus_per_iaa is 1 in that case, and also in the nr_iaa == 0 case, even though cpus_per_iaa is never used if nr_iaa == 0, for paranoia.	https://nvd.nist.gov/vuln/detail/CVE-2024-26945
CVE-2024-41045	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  bpf: Defer work in bpf_timer_cancel_and_free  Currently, the same case as previous patch (two timer callbacks trying to cancel each other) can be invoked through bpf_map_update_elem as well, or more precisely, freeing map elements containing timers. Since this relies on hrtimer_cancel as well, it is prone to the same deadlock situation as the previous patch.  It would be sufficient to use hrtimer_try_to_cancel to fix this problem, as the timer cannot be enqueued after async_cancel_and_free. Once async_cancel_and_free has been done, the timer must be reinitialized before it can be armed again. The callback running in parallel trying to arm the timer will fail, and freeing bpf_hrtimer without waiting is sufficient (given kfree_rcu), and bpf_timer_cb will return HRTIMER_NORESTART, preventing the timer from being rearmed again.  However, there exists a UAF scenario where the callback arms the timer before entering this function, such that if cancellation fails (due to timer callback invoking this routine, or the target timer callback running concurrently). In such a case, if the timer expiration is significantly far in the future, the RCU grace period expiration happening before it will free the bpf_hrtimer state and along with it the struct hrtimer, that is enqueued.  Hence, it is clear cancellation needs to occur after async_cancel_and_free, and yet it cannot be done inline due to deadlock issues. We thus modify bpf_timer_cancel_and_free to defer work to the global workqueue, adding a work_struct alongside rcu_head (both used at _different_ points of time, so can share space).  Update existing code comments to reflect the new state of affairs.	https://nvd.nist.gov/vuln/detail/CVE-2024-41045
CVE-2024-42118	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Do not return negative stream id for array  [WHY] resource_stream_to_stream_idx returns an array index and it return -1 when not found; however, -1 is not a valid array index number.  [HOW] When this happens, call ASSERT(), and return a zero instead.  This fixes an OVERRUN and an NEGATIVE_RETURNS issues reported by Coverity.	https://nvd.nist.gov/vuln/detail/CVE-2024-42118
CVE-2024-42162	7.0	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  gve: Account for stopped queues when reading NIC stats  We now account for the fact that the NIC might send us stats for a subset of queues. Without this change, gve_get_ethtool_stats might make an invalid access on the priv->stats_report->stats array.	https://nvd.nist.gov/vuln/detail/CVE-2024-42162
CVE-2024-44951	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  serial: sc16is7xx: fix TX fifo corruption  Sometimes, when a packet is received on channel A at almost the same time as a packet is about to be transmitted on channel B, we observe with a logic analyzer that the received packet on channel A is transmitted on channel B. In other words, the Tx buffer data on channel B is corrupted with data from channel A.  The problem appeared since commit 4409df5866b7 ("serial: sc16is7xx: change EFR lock to operate on each channels"), which changed the EFR locking to operate on each channel instead of chip-wise.  This commit has introduced a regression, because the EFR lock is used not only to protect the EFR registers access, but also, in a very obscure and undocumented way, to protect access to the data buffer, which is shared by the Tx and Rx handlers, but also by each channel of the IC.  Fix this regression first by switching to kfifo_out_linear_ptr() in sc16is7xx_handle_tx() to eliminate the need for a shared Rx/Tx buffer.  Secondly, replace the chip-wise Rx buffer with a separate Rx buffer for each channel.	https://nvd.nist.gov/vuln/detail/CVE-2024-44951
CVE-2024-46729	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Fix incorrect size calculation for loop  [WHY] fe_clk_en has size of 5 but sizeof(fe_clk_en) has byte size 20 which is lager than the array size.  [HOW] Divide byte size 20 by its element size.  This fixes 2 OVERRUN issues reported by Coverity.	https://nvd.nist.gov/vuln/detail/CVE-2024-46729
CVE-2024-46774	7.1	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  powerpc/rtas: Prevent Spectre v1 gadget construction in sys_rtas()  Smatch warns:    arch/powerpc/kernel/rtas.c:1932 __do_sys_rtas() warn: potential   spectre issue 'args.args' [r] (local cap)  The 'nargs' and 'nret' locals come directly from a user-supplied buffer and are used as indexes into a small stack-based array and as inputs to copy_to_user() after they are subject to bounds checks.  Use array_index_nospec() after the bounds checks to clamp these values for speculative execution.	https://nvd.nist.gov/vuln/detail/CVE-2024-46774
CVE-2024-46813	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Check link_index before accessing dc->links[]  [WHY & HOW] dc->links[] has max size of MAX_LINKS and NULL is return when trying to access with out-of-bound index.  This fixes 3 OVERRUN and 1 RESOURCE_LEAK issues reported by Coverity.	https://nvd.nist.gov/vuln/detail/CVE-2024-46813
CVE-2024-46833	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  net: hns3: void array out of bound when loop tnl_num  When query reg inf of SSU, it loops tnl_num times. However, tnl_num comes from hardware and the length of array is a fixed value. To void array out of bound, make sure the loop time is not greater than the length of array	https://nvd.nist.gov/vuln/detail/CVE-2024-46833
CVE-2024-49928	7.1	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  wifi: rtw89: avoid reading out of bounds when loading TX power FW elements  Because the loop-expression will do one more time before getting false from cond-expression, the original code copied one more entry size beyond valid region.  Fix it by moving the entry copy to loop-body.	https://nvd.nist.gov/vuln/detail/CVE-2024-49928
CVE-2024-50067	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  uprobe: avoid out-of-bounds memory access of fetching args  Uprobe needs to fetch args into a percpu buffer, and then copy to ring buffer to avoid non-atomic context problem.  Sometimes user-space strings, arrays can be very large, but the size of percpu buffer is only page size. And store_trace_args() won't check whether these data exceeds a single page or not, caused out-of-bounds memory access.  It could be reproduced by following steps: 1. build kernel with CONFIG_KASAN enabled 2. save follow program as test.c  ``` \#include <stdio.h> \#include <stdlib.h> \#include <string.h>  // If string length large than MAX_STRING_SIZE, the fetch_store_strlen() // will return 0, cause __get_data_size() return shorter size, and // store_trace_args() will not trigger out-of-bounds access. // So make string length less than 4096. \#define STRLEN 4093  void generate_string(char *str, int n) {     int i;     for (i = 0; i < n; ++i)     {         char c = i % 26 + 'a';         str[i] = c;     }     str[n-1] = '\0'; }  void print_string(char *str) {     printf("%s\n", str); }  int main() {     char tmp[STRLEN];      generate_string(tmp, STRLEN);     print_string(tmp);      return 0; } ``` 3. compile program `gcc -o test test.c`  4. get the offset of `print_string()` ``` objdump -t test | grep -w print_string 0000000000401199 g     F .text  000000000000001b              print_string ```  5. configure uprobe with offset 0x1199 ``` off=0x1199  cd /sys/kernel/debug/tracing/ echo "p /root/test:${off} arg1=+0(%di):ustring arg2=\$comm arg3=+0(%di):ustring"  > uprobe_events echo 1 > events/uprobes/enable echo 1 > tracing_on ```  6. run `test`, and kasan will report error. ================================================================== BUG: KASAN: use-after-free in strncpy_from_user+0x1d6/0x1f0 Write of size 8 at addr ffff88812311c004 by task test/499CPU: 0 UID: 0 PID: 499 Comm: test Not tainted 6.12.0-rc3+ #18 Hardware name: Red Hat KVM, BIOS 1.16.0-4.al8 04/01/2014 Call Trace:  <TASK>  dump_stack_lvl+0x55/0x70  print_address_description.constprop.0+0x27/0x310  kasan_report+0x10f/0x120  ? strncpy_from_user+0x1d6/0x1f0  strncpy_from_user+0x1d6/0x1f0  ? rmqueue.constprop.0+0x70d/0x2ad0  process_fetch_insn+0xb26/0x1470  ? __pfx_process_fetch_insn+0x10/0x10  ? _raw_spin_lock+0x85/0xe0  ? __pfx__raw_spin_lock+0x10/0x10  ? __pte_offset_map+0x1f/0x2d0  ? unwind_next_frame+0xc5f/0x1f80  ? arch_stack_walk+0x68/0xf0  ? is_bpf_text_address+0x23/0x30  ? kernel_text_address.part.0+0xbb/0xd0  ? __kernel_text_address+0x66/0xb0  ? unwind_get_return_address+0x5e/0xa0  ? __pfx_stack_trace_consume_entry+0x10/0x10  ? arch_stack_walk+0xa2/0xf0  ? _raw_spin_lock_irqsave+0x8b/0xf0  ? __pfx__raw_spin_lock_irqsave+0x10/0x10  ? depot_alloc_stack+0x4c/0x1f0  ? _raw_spin_unlock_irqrestore+0xe/0x30  ? stack_depot_save_flags+0x35d/0x4f0  ? kasan_save_stack+0x34/0x50  ? kasan_save_stack+0x24/0x50  ? mutex_lock+0x91/0xe0  ? __pfx_mutex_lock+0x10/0x10  prepare_uprobe_buffer.part.0+0x2cd/0x500  uprobe_dispatcher+0x2c3/0x6a0  ? __pfx_uprobe_dispatcher+0x10/0x10  ? __kasan_slab_alloc+0x4d/0x90  handler_chain+0xdd/0x3e0  handle_swbp+0x26e/0x3d0  ? __pfx_handle_swbp+0x10/0x10  ? uprobe_pre_sstep_notifier+0x151/0x1b0  irqentry_exit_to_user_mode+0xe2/0x1b0  asm_exc_int3+0x39/0x40 RIP: 0033:0x401199 Code: 01 c2 0f b6 45 fb 88 02 83 45 fc 01 8b 45 fc 3b 45 e4 7c b7 8b 45 e4 48 98 48 8d 50 ff 48 8b 45 e8 48 01 d0 ce RSP: 002b:00007ffdf00576a8 EFLAGS: 00000206 RAX: 00007ffdf00576b0 RBX: 0000000000000000 RCX: 0000000000000ff2 RDX: 0000000000000ffc RSI: 0000000000000ffd RDI: 00007ffdf00576b0 RBP: 00007ffdf00586b0 R08: 00007feb2f9c0d20 R09: 00007feb2f9c0d20 R10: 0000000000000001 R11: 0000000000000202 R12: 0000000000401040 R13: 00007ffdf0058780 R14: 0000000000000000 R15: 0000000000000000  </TASK>  This commit enforces the buffer's maxlen less than a page-size to avoid store_trace_args() out-of-memory access.	https://nvd.nist.gov/vuln/detail/CVE-2024-50067
CVE-2024-50106	7.0	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  nfsd: fix race between laundromat and free_stateid  There is a race between laundromat handling of revoked delegations and a client sending free_stateid operation. Laundromat thread finds that delegation has expired and needs to be revoked so it marks the delegation stid revoked and it puts it on a reaper list but then it unlock the state lock and the actual delegation revocation happens without the lock. Once the stid is marked revoked a racing free_stateid processing thread does the following (1) it calls list_del_init() which removes it from the reaper list and (2) frees the delegation stid structure. The laundromat thread ends up not calling the revoke_delegation() function for this particular delegation but that means it will no release the lock lease that exists on the file.  Now, a new open for this file comes in and ends up finding that lease list isn't empty and calls nfsd_breaker_owns_lease() which ends up trying to derefence a freed delegation stateid. Leading to the followint use-after-free KASAN warning:  kernel: ================================================================== kernel: BUG: KASAN: slab-use-after-free in nfsd_breaker_owns_lease+0x140/0x160 [nfsd] kernel: Read of size 8 at addr ffff0000e73cd0c8 by task nfsd/6205 kernel: kernel: CPU: 2 UID: 0 PID: 6205 Comm: nfsd Kdump: loaded Not tainted 6.11.0-rc7+ #9 kernel: Hardware name: Apple Inc. Apple Virtualization Generic Platform, BIOS 2069.0.0.0.0 08/03/2024 kernel: Call trace: kernel: dump_backtrace+0x98/0x120 kernel: show_stack+0x1c/0x30 kernel: dump_stack_lvl+0x80/0xe8 kernel: print_address_description.constprop.0+0x84/0x390 kernel: print_report+0xa4/0x268 kernel: kasan_report+0xb4/0xf8 kernel: __asan_report_load8_noabort+0x1c/0x28 kernel: nfsd_breaker_owns_lease+0x140/0x160 [nfsd] kernel: nfsd_file_do_acquire+0xb3c/0x11d0 [nfsd] kernel: nfsd_file_acquire_opened+0x84/0x110 [nfsd] kernel: nfs4_get_vfs_file+0x634/0x958 [nfsd] kernel: nfsd4_process_open2+0xa40/0x1a40 [nfsd] kernel: nfsd4_open+0xa08/0xe80 [nfsd] kernel: nfsd4_proc_compound+0xb8c/0x2130 [nfsd] kernel: nfsd_dispatch+0x22c/0x718 [nfsd] kernel: svc_process_common+0x8e8/0x1960 [sunrpc] kernel: svc_process+0x3d4/0x7e0 [sunrpc] kernel: svc_handle_xprt+0x828/0xe10 [sunrpc] kernel: svc_recv+0x2cc/0x6a8 [sunrpc] kernel: nfsd+0x270/0x400 [nfsd] kernel: kthread+0x288/0x310 kernel: ret_from_fork+0x10/0x20  This patch proposes a fixed that's based on adding 2 new additional stid's sc_status values that help coordinate between the laundromat and other operations (nfsd4_free_stateid() and nfsd4_delegreturn()).  First to make sure, that once the stid is marked revoked, it is not removed by the nfsd4_free_stateid(), the laundromat take a reference on the stateid. Then, coordinating whether the stid has been put on the cl_revoked list or we are processing FREE_STATEID and need to make sure to remove it from the list, each check that state and act accordingly. If laundromat has added to the cl_revoke list before the arrival of FREE_STATEID, then nfsd4_free_stateid() knows to remove it from the list. If nfsd4_free_stateid() finds that operations arrived before laundromat has placed it on cl_revoke list, it marks the state freed and then laundromat will no longer add it to the list.  Also, for nfsd4_delegreturn() when looking for the specified stid, we need to access stid that are marked removed or freeable, it means the laundromat has started processing it but hasn't finished and this delegreturn needs to return nfserr_deleg_revoked and not nfserr_bad_stateid. The latter will not trigger a FREE_STATEID and the lack of it will leave this stid on the cl_revoked list indefinitely.	https://nvd.nist.gov/vuln/detail/CVE-2024-50106
CVE-2024-50217	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  btrfs: fix use-after-free of block device file in __btrfs_free_extra_devids()  Mounting btrfs from two images (which have the same one fsid and two different dev_uuids) in certain executing order may trigger an UAF for variable 'device->bdev_file' in __btrfs_free_extra_devids(). And following are the details:  1. Attach image_1 to loop0, attach image_2 to loop1, and scan btrfs    devices by ioctl(BTRFS_IOC_SCAN_DEV):               /  btrfs_device_1 → loop0    fs_device              \  btrfs_device_2 → loop1 2. mount /dev/loop0 /mnt    btrfs_open_devices     btrfs_device_1->bdev_file = btrfs_get_bdev_and_sb(loop0)     btrfs_device_2->bdev_file = btrfs_get_bdev_and_sb(loop1)    btrfs_fill_super     open_ctree      fail: btrfs_close_devices // -ENOMEM 	    btrfs_close_bdev(btrfs_device_1)              fput(btrfs_device_1->bdev_file) 	      // btrfs_device_1->bdev_file is freed 	    btrfs_close_bdev(btrfs_device_2)              fput(btrfs_device_2->bdev_file)  3. mount /dev/loop1 /mnt    btrfs_open_devices     btrfs_get_bdev_and_sb(&bdev_file)      // EIO, btrfs_device_1->bdev_file is not assigned,      // which points to a freed memory area     btrfs_device_2->bdev_file = btrfs_get_bdev_and_sb(loop1)    btrfs_fill_super     open_ctree      btrfs_free_extra_devids       if (btrfs_device_1->bdev_file)        fput(btrfs_device_1->bdev_file) // UAF !  Fix it by setting 'device->bdev_file' as 'NULL' after closing the btrfs_device in btrfs_close_one_device().	https://nvd.nist.gov/vuln/detail/CVE-2024-50217
CVE-2024-50221	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/pm: Vangogh: Fix kernel memory out of bounds write  KASAN reports that the GPU metrics table allocated in vangogh_tables_init() is not large enough for the memset done in smu_cmn_init_soft_gpu_metrics(). Condensed report follows:  [   33.861314] BUG: KASAN: slab-out-of-bounds in smu_cmn_init_soft_gpu_metrics+0x73/0x200 [amdgpu] [   33.861799] Write of size 168 at addr ffff888129f59500 by task mangoapp/1067 ... [   33.861808] CPU: 6 UID: 1000 PID: 1067 Comm: mangoapp Tainted: G        W          6.12.0-rc4 #356 1a56f59a8b5182eeaf67eb7cb8b13594dd23b544 [   33.861816] Tainted: [W]=WARN [   33.861818] Hardware name: Valve Galileo/Galileo, BIOS F7G0107 12/01/2023 [   33.861822] Call Trace: [   33.861826]  <TASK> [   33.861829]  dump_stack_lvl+0x66/0x90 [   33.861838]  print_report+0xce/0x620 [   33.861853]  kasan_report+0xda/0x110 [   33.862794]  kasan_check_range+0xfd/0x1a0 [   33.862799]  __asan_memset+0x23/0x40 [   33.862803]  smu_cmn_init_soft_gpu_metrics+0x73/0x200 [amdgpu 13b1bc364ec578808f676eba412c20eaab792779] [   33.863306]  vangogh_get_gpu_metrics_v2_4+0x123/0xad0 [amdgpu 13b1bc364ec578808f676eba412c20eaab792779] [   33.864257]  vangogh_common_get_gpu_metrics+0xb0c/0xbc0 [amdgpu 13b1bc364ec578808f676eba412c20eaab792779] [   33.865682]  amdgpu_dpm_get_gpu_metrics+0xcc/0x110 [amdgpu 13b1bc364ec578808f676eba412c20eaab792779] [   33.866160]  amdgpu_get_gpu_metrics+0x154/0x2d0 [amdgpu 13b1bc364ec578808f676eba412c20eaab792779] [   33.867135]  dev_attr_show+0x43/0xc0 [   33.867147]  sysfs_kf_seq_show+0x1f1/0x3b0 [   33.867155]  seq_read_iter+0x3f8/0x1140 [   33.867173]  vfs_read+0x76c/0xc50 [   33.867198]  ksys_read+0xfb/0x1d0 [   33.867214]  do_syscall_64+0x90/0x160 ... [   33.867353] Allocated by task 378 on cpu 7 at 22.794876s: [   33.867358]  kasan_save_stack+0x33/0x50 [   33.867364]  kasan_save_track+0x17/0x60 [   33.867367]  __kasan_kmalloc+0x87/0x90 [   33.867371]  vangogh_init_smc_tables+0x3f9/0x840 [amdgpu] [   33.867835]  smu_sw_init+0xa32/0x1850 [amdgpu] [   33.868299]  amdgpu_device_init+0x467b/0x8d90 [amdgpu] [   33.868733]  amdgpu_driver_load_kms+0x19/0xf0 [amdgpu] [   33.869167]  amdgpu_pci_probe+0x2d6/0xcd0 [amdgpu] [   33.869608]  local_pci_probe+0xda/0x180 [   33.869614]  pci_device_probe+0x43f/0x6b0  Empirically we can confirm that the former allocates 152 bytes for the table, while the latter memsets the 168 large block.  Root cause appears that when GPU metrics tables for v2_4 parts were added it was not considered to enlarge the table to fit.  The fix in this patch is rather "brute force" and perhaps later should be done in a smarter way, by extracting and consolidating the part version to size logic to a common helper, instead of brute forcing the largest possible allocation. Nevertheless, for now this works and fixes the out of bounds write.  v2:  * Drop impossible v3_0 case. (Mario)  (cherry picked from commit 0880f58f9609f0200483a49429af0f050d281703)	https://nvd.nist.gov/vuln/detail/CVE-2024-50221
CVE-2024-53098	7.8	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/xe/ufence: Prefetch ufence addr to catch bogus address  access_ok() only checks for addr overflow so also try to read the addr to catch invalid addr sent from userspace.  (cherry picked from commit 9408c4508483ffc60811e910a93d6425b8e63928)	https://nvd.nist.gov/vuln/detail/CVE-2024-53098
